Date,HomeAway,Opponent,Points,OppPoints,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,Team
2021-02-01,,NYK,110,102,42,88,0.477,11,34,0.324,15,20,0.75,7,40,30,3,1,12,19,37,87,0.425,6,29,0.207,22,26,0.846,11,45,21,6,6,11,19,CHI
2021-02-03,,NYK,103,107,43,88,0.489,6,36,0.167,11,16,0.688,6,38,25,11,3,9,14,43,89,0.483,11,22,0.5,10,15,0.667,11,47,19,5,4,17,18,CHI
2021-02-05,@,ORL,119,123,46,96,0.479,9,30,0.3,18,20,0.9,10,40,27,9,5,8,22,42,81,0.519,11,27,0.407,28,37,0.757,10,49,27,5,2,15,22,CHI
2021-02-06,@,ORL,118,92,47,91,0.516,15,30,0.5,9,13,0.692,11,47,28,6,10,10,12,37,95,0.389,6,27,0.222,12,12,1,15,47,17,5,10,11,10,CHI
2021-02-08,,WAS,101,105,36,85,0.424,9,30,0.3,20,24,0.833,10,50,23,6,3,16,26,36,86,0.419,6,26,0.231,27,36,0.75,10,47,23,8,4,13,21,CHI
2021-02-10,,NOP,129,116,48,81,0.593,25,47,0.532,8,11,0.727,7,35,36,4,6,16,20,41,81,0.506,13,36,0.361,21,26,0.808,9,35,27,11,1,12,12,CHI
2021-02-12,,LAC,106,125,40,85,0.471,12,32,0.375,14,15,0.933,8,41,23,4,3,13,16,50,86,0.581,13,30,0.433,12,15,0.8,4,37,20,11,7,9,13,CHI
2021-02-15,@,IND,120,112,44,102,0.431,13,33,0.394,19,22,0.864,13,60,25,6,2,18,24,39,92,0.424,9,33,0.273,25,31,0.806,8,47,18,9,14,19,23,CHI
2021-02-17,,DET,105,102,41,85,0.482,8,28,0.286,15,24,0.625,8,46,29,8,7,13,20,37,82,0.451,8,28,0.286,20,24,0.833,6,40,15,9,2,13,21,CHI
2021-02-19,@,PHI,105,112,40,95,0.421,7,32,0.219,18,18,1,13,42,24,5,6,11,20,41,87,0.471,7,21,0.333,23,29,0.793,16,53,23,5,7,15,18,CHI
2021-02-20,,SAC,122,114,49,82,0.598,11,23,0.478,13,15,0.867,2,38,24,5,8,14,23,44,98,0.449,8,29,0.276,18,22,0.818,12,41,22,8,3,7,18,CHI
2021-02-22,@,HOU,120,100,49,91,0.538,15,36,0.417,7,10,0.7,8,55,24,5,5,11,17,37,96,0.385,13,40,0.325,13,19,0.684,11,46,20,7,4,9,16,CHI
2021-02-24,,MIN,133,126,55,93,0.591,10,25,0.4,13,16,0.813,7,43,28,11,5,21,15,47,104,0.452,12,38,0.316,20,21,0.952,13,41,28,11,4,17,24,CHI
2021-02-26,,PHO,97,106,39,78,0.5,12,31,0.387,7,10,0.7,6,41,25,2,4,17,16,44,88,0.5,6,22,0.273,12,15,0.8,3,30,35,11,4,7,11,CHI
2021-03-01,,DEN,112,118,42,94,0.447,12,38,0.316,16,22,0.727,14,44,25,7,3,10,18,46,87,0.529,10,27,0.37,16,20,0.8,9,50,22,4,6,12,18,CHI
2021-03-03,@,NOP,128,124,48,94,0.511,12,28,0.429,20,22,0.909,13,45,28,6,8,14,21,46,83,0.554,6,22,0.273,26,38,0.684,7,35,29,10,6,11,19,CHI
2021-03-11,,PHI,105,127,39,83,0.47,14,29,0.483,13,16,0.813,8,38,26,3,6,19,19,53,103,0.515,10,33,0.303,11,15,0.733,13,45,25,11,7,10,16,CHI
2021-03-12,,MIA,90,101,34,92,0.37,15,38,0.395,7,7,1,12,50,25,5,3,16,16,37,80,0.463,12,35,0.343,15,20,0.75,1,41,26,11,6,9,13,CHI
2021-03-14,,TOR,118,95,44,97,0.454,12,44,0.273,18,23,0.783,14,60,35,6,7,11,20,34,90,0.378,12,45,0.267,15,21,0.714,7,38,23,5,7,12,22,CHI
2021-03-16,,OKC,123,102,48,94,0.511,12,36,0.333,15,18,0.833,12,42,24,8,4,11,17,42,90,0.467,7,20,0.35,11,13,0.846,13,43,16,9,9,17,15,CHI
2021-03-17,,SAS,99,106,40,91,0.44,11,33,0.333,8,9,0.889,14,51,24,6,3,17,22,38,89,0.427,8,31,0.258,22,30,0.733,13,46,19,5,6,9,8,CHI
2021-03-19,@,DEN,127,131,47,90,0.522,17,35,0.486,16,23,0.696,9,42,32,6,2,16,20,48,91,0.527,14,34,0.412,21,27,0.778,9,43,29,10,3,13,22,CHI
2021-03-21,@,DET,100,86,37,80,0.463,14,28,0.5,12,14,0.857,9,52,26,8,8,18,22,32,82,0.39,4,25,0.16,18,25,0.72,8,37,20,11,5,14,16,CHI
2021-03-22,,UTA,95,120,39,96,0.406,6,26,0.231,11,12,0.917,14,49,21,5,3,13,14,45,92,0.489,17,39,0.436,13,15,0.867,10,46,25,9,10,9,16,CHI
2021-03-24,,CLE,94,103,37,83,0.446,8,28,0.286,12,14,0.857,10,45,21,6,4,15,12,42,92,0.457,11,29,0.379,8,10,0.8,12,46,28,8,7,10,16,CHI
2021-03-27,@,SAS,104,120,41,95,0.432,8,34,0.235,14,18,0.778,11,48,28,6,3,14,25,46,85,0.541,10,25,0.4,18,28,0.643,4,41,29,9,7,10,15,CHI
2021-03-29,@,GSW,102,116,44,84,0.524,6,24,0.25,8,11,0.727,8,39,33,8,5,19,18,46,92,0.5,16,38,0.421,8,9,0.889,10,39,28,9,8,14,14,CHI
2021-03-31,@,PHO,116,121,43,99,0.434,11,33,0.333,19,21,0.905,18,50,27,6,4,9,20,46,81,0.568,11,25,0.44,18,24,0.75,4,32,29,6,7,9,21,CHI
2020-12-23,,CHO,121,114,46,87,0.529,14,30,0.467,15,20,0.75,10,50,34,12,3,18,22,45,90,0.5,16,44,0.364,8,15,0.533,8,32,29,10,4,15,17,CLE
2020-12-26,@,DET,128,119,48,99,0.485,13,30,0.433,19,30,0.633,7,51,29,13,4,18,24,40,98,0.408,16,45,0.356,23,32,0.719,10,57,24,9,5,22,20,CLE
2020-12-27,,PHI,118,94,48,91,0.527,9,23,0.391,13,16,0.813,11,45,31,13,6,16,22,33,79,0.418,12,37,0.324,16,22,0.727,8,39,24,9,5,21,19,CLE
2020-12-29,,NYK,86,95,32,88,0.364,7,32,0.219,15,22,0.682,14,43,22,13,10,13,17,34,79,0.43,14,25,0.56,13,21,0.619,14,55,23,9,6,25,21,CLE
2020-12-31,@,IND,99,119,37,82,0.451,12,23,0.522,13,24,0.542,11,43,22,5,6,18,22,42,87,0.483,16,35,0.457,19,24,0.792,9,44,28,12,1,14,22,CLE
2021-01-02,@,ATL,96,91,38,91,0.418,7,29,0.241,13,17,0.765,15,46,19,10,2,15,21,35,85,0.412,11,32,0.344,10,19,0.526,15,48,22,9,5,20,20,CLE
2021-01-04,@,ORL,83,103,33,85,0.388,10,28,0.357,7,12,0.583,9,35,20,12,4,14,14,38,88,0.432,15,34,0.441,12,13,0.923,18,54,22,9,7,19,15,CLE
2021-01-06,@,ORL,94,105,36,85,0.424,4,26,0.154,18,26,0.692,13,45,24,9,4,10,19,40,81,0.494,12,29,0.414,13,18,0.722,8,43,20,4,4,15,22,CLE
2021-01-07,@,MEM,94,90,36,79,0.456,13,30,0.433,9,16,0.563,7,37,24,11,3,15,14,36,83,0.434,11,31,0.355,7,8,0.875,11,48,27,13,6,18,17,CLE
2021-01-09,@,MIL,90,100,36,87,0.414,7,26,0.269,11,16,0.688,14,47,16,6,4,15,18,37,84,0.44,12,36,0.333,14,18,0.778,11,45,25,11,4,15,14,CLE
2021-01-11,,MEM,91,101,37,82,0.451,11,26,0.423,6,14,0.429,10,40,20,11,7,17,21,40,78,0.513,5,20,0.25,16,21,0.762,7,40,32,10,6,15,17,CLE
2021-01-12,,UTA,87,117,35,90,0.389,8,31,0.258,9,14,0.643,12,40,23,7,4,12,13,42,84,0.5,24,45,0.533,9,12,0.75,10,48,26,8,8,16,16,CLE
2021-01-15,,NYK,106,103,36,79,0.456,9,27,0.333,25,34,0.735,14,48,26,9,6,15,18,40,82,0.488,9,25,0.36,14,16,0.875,7,39,20,9,10,12,21,CLE
2021-01-20,,BRK,147,135,56,109,0.514,20,40,0.5,15,21,0.714,12,50,29,10,6,14,21,48,106,0.453,15,41,0.366,24,27,0.889,13,52,30,8,11,16,24,CLE
2021-01-22,,BRK,125,113,45,87,0.517,8,25,0.32,27,32,0.844,13,50,24,7,3,12,18,42,87,0.483,14,43,0.326,15,17,0.882,6,29,23,5,8,11,25,CLE
2021-01-24,@,BOS,103,141,34,85,0.4,10,33,0.303,25,34,0.735,11,34,24,10,8,17,23,52,93,0.559,14,28,0.5,23,27,0.852,13,55,26,14,8,15,23,CLE
2021-01-25,,LAL,108,115,40,86,0.465,9,21,0.429,19,22,0.864,15,44,19,8,3,17,25,42,87,0.483,10,32,0.313,21,28,0.75,15,40,21,7,7,13,23,CLE
2021-01-27,,DET,122,107,47,87,0.54,11,21,0.524,17,23,0.739,8,37,24,14,7,16,22,37,82,0.451,11,27,0.407,22,29,0.759,13,40,29,7,5,22,21,CLE
2021-01-29,@,NYK,81,102,29,84,0.345,8,26,0.308,15,18,0.833,14,43,15,8,5,14,20,39,80,0.488,10,27,0.37,14,16,0.875,8,41,20,8,6,13,24,CLE
2021-01-31,@,MIN,104,109,41,84,0.488,4,16,0.25,18,23,0.783,10,55,20,3,3,19,14,41,91,0.451,16,40,0.4,11,15,0.733,7,34,24,10,11,8,25,CLE
2021-02-01,,MIN,100,98,35,84,0.417,7,22,0.318,23,31,0.742,15,52,26,4,12,13,12,40,102,0.392,11,38,0.289,7,11,0.636,15,45,20,4,1,8,21,CLE
2021-02-03,,LAC,99,121,41,92,0.446,4,10,0.4,13,17,0.765,11,37,21,8,6,8,14,44,79,0.557,20,34,0.588,13,17,0.765,8,46,22,4,6,14,20,CLE
2021-02-05,,MIL,105,123,41,92,0.446,11,32,0.344,12,16,0.75,6,36,23,7,9,11,19,50,97,0.515,7,22,0.318,16,22,0.727,13,54,28,6,7,11,18,CLE
2021-02-06,,MIL,99,124,39,86,0.453,6,28,0.214,15,21,0.714,8,40,21,4,1,13,19,47,86,0.547,16,34,0.471,14,23,0.609,6,43,25,10,2,8,20,CLE
2021-02-08,@,PHO,113,119,44,86,0.512,8,24,0.333,17,25,0.68,9,39,23,5,5,10,20,47,90,0.522,11,24,0.458,14,19,0.737,14,41,29,7,6,10,20,CLE
2021-02-10,@,DEN,95,133,36,94,0.383,8,37,0.216,15,20,0.75,18,49,25,7,7,17,18,51,85,0.6,16,36,0.444,15,21,0.714,4,39,31,12,9,11,18,CLE
2021-02-12,@,POR,110,129,38,87,0.437,8,23,0.348,26,37,0.703,10,41,20,6,3,11,21,43,83,0.518,13,35,0.371,30,33,0.909,9,45,16,3,4,14,29,CLE
2021-02-14,@,LAC,111,128,43,93,0.462,7,25,0.28,18,25,0.72,11,40,25,4,4,15,27,42,88,0.477,13,30,0.433,31,36,0.861,12,47,31,8,5,10,21,CLE
2021-02-15,@,GSW,98,129,37,95,0.389,8,30,0.267,16,20,0.8,15,49,19,10,3,17,24,46,88,0.523,17,37,0.459,20,21,0.952,5,39,34,9,10,14,23,CLE
2021-02-19,,DEN,103,120,39,83,0.47,12,31,0.387,13,21,0.619,13,34,30,8,4,18,15,46,80,0.575,15,31,0.484,13,17,0.765,6,37,24,9,2,15,17,CLE
2021-02-21,,OKC,101,117,39,84,0.464,8,35,0.229,15,20,0.75,14,42,22,9,4,15,17,43,79,0.544,13,28,0.464,18,24,0.75,5,37,22,9,3,14,18,CLE
2021-02-23,,ATL,112,111,41,78,0.526,15,28,0.536,15,19,0.789,7,36,28,7,10,15,19,40,89,0.449,14,31,0.452,17,23,0.739,13,41,22,10,4,11,19,CLE
2021-02-24,,HOU,112,96,43,85,0.506,16,36,0.444,10,15,0.667,11,55,24,4,10,16,20,36,90,0.4,10,33,0.303,14,17,0.824,9,33,18,8,8,7,15,CLE
2021-02-27,@,PHI,112,109,41,97,0.423,8,24,0.333,22,29,0.759,13,52,24,12,3,16,26,38,83,0.458,10,28,0.357,23,35,0.657,8,46,25,9,10,19,26,CLE
2021-03-01,@,HOU,101,90,36,73,0.493,10,30,0.333,19,24,0.792,6,48,23,7,6,19,18,31,76,0.408,10,31,0.323,18,24,0.75,4,30,13,13,4,14,18,CLE
2021-03-03,,IND,111,114,43,83,0.518,11,28,0.393,14,15,0.933,11,43,29,8,1,25,18,47,83,0.566,8,25,0.32,12,16,0.75,4,27,27,18,8,11,16,CLE
2021-03-12,@,NOP,82,116,30,88,0.341,7,32,0.219,15,20,0.75,5,33,13,8,9,6,18,47,101,0.465,6,24,0.25,16,19,0.842,19,70,25,2,7,13,18,CLE
2021-03-14,@,ATL,82,100,31,81,0.383,8,30,0.267,12,23,0.522,14,34,19,4,5,13,18,32,71,0.451,12,29,0.414,24,26,0.923,12,49,21,4,6,15,21,CLE
2021-03-16,@,MIA,98,113,39,86,0.453,10,35,0.286,10,14,0.714,15,42,23,7,6,14,19,42,85,0.494,10,27,0.37,19,21,0.905,16,48,30,11,5,13,18,CLE
2021-03-17,,BOS,117,110,40,74,0.541,10,23,0.435,27,33,0.818,7,40,23,6,3,15,17,40,88,0.455,10,38,0.263,20,29,0.69,15,40,19,10,9,12,27,CLE
2021-03-19,,SAS,110,116,39,89,0.438,7,27,0.259,25,32,0.781,15,47,19,8,4,10,21,41,88,0.466,7,18,0.389,27,33,0.818,17,51,19,5,4,13,25,CLE
2021-03-21,,TOR,116,105,39,77,0.506,17,33,0.515,21,28,0.75,7,54,29,8,4,26,19,37,95,0.389,15,46,0.326,16,19,0.842,9,37,19,13,3,14,26,CLE
2021-03-22,,SAC,105,119,41,96,0.427,4,17,0.235,19,23,0.826,10,39,22,13,4,8,11,49,90,0.544,13,30,0.433,8,12,0.667,10,49,26,6,7,16,17,CLE
2021-03-24,@,CHI,103,94,42,92,0.457,11,29,0.379,8,10,0.8,12,46,28,8,7,10,16,37,83,0.446,8,28,0.286,12,14,0.857,10,45,21,6,4,15,12,CLE
2021-03-26,@,LAL,86,100,31,80,0.388,5,26,0.192,19,28,0.679,10,37,24,11,4,21,19,38,78,0.487,6,26,0.231,18,25,0.72,9,45,23,15,3,23,23,CLE
2021-03-27,@,SAC,98,100,37,84,0.44,9,26,0.346,15,23,0.652,7,36,20,11,2,7,13,41,80,0.513,7,30,0.233,11,14,0.786,7,44,16,4,9,18,20,CLE
2021-03-29,@,UTA,75,114,29,83,0.349,7,34,0.206,10,16,0.625,6,40,17,5,5,10,18,38,82,0.463,19,41,0.463,19,23,0.826,9,55,29,6,5,12,14,CLE
2020-12-23,@,MIN,101,111,45,93,0.484,8,35,0.229,3,8,0.375,7,44,29,5,2,12,20,38,88,0.432,11,41,0.268,24,28,0.857,12,48,25,6,5,11,16,DET
2020-12-26,,CLE,119,128,40,98,0.408,16,45,0.356,23,32,0.719,10,57,24,9,5,22,20,48,99,0.485,13,30,0.433,19,30,0.633,7,51,29,13,4,18,24,DET
2020-12-28,@,ATL,120,128,43,98,0.439,13,41,0.317,21,24,0.875,17,48,24,7,4,8,25,40,82,0.488,20,42,0.476,28,32,0.875,8,45,30,5,7,13,22,DET
2020-12-29,,GSW,106,116,35,92,0.38,13,35,0.371,23,29,0.793,16,45,21,8,6,15,26,38,76,0.5,14,33,0.424,26,36,0.722,4,40,21,8,8,19,28,DET
2021-01-01,,BOS,96,93,36,88,0.409,11,34,0.324,13,20,0.65,12,48,18,9,2,19,16,39,83,0.47,8,31,0.258,7,14,0.5,7,44,20,12,11,19,20,DET
2021-01-03,,BOS,120,122,41,86,0.477,16,36,0.444,22,25,0.88,8,33,29,8,7,9,16,49,87,0.563,15,33,0.455,9,13,0.692,12,41,35,4,5,17,22,DET
2021-01-04,@,MIL,115,125,43,98,0.439,17,40,0.425,12,12,1,6,31,27,9,5,8,17,49,85,0.576,14,34,0.412,13,16,0.813,7,49,32,6,4,19,18,DET
2021-01-06,@,MIL,115,130,38,97,0.392,13,41,0.317,26,30,0.867,15,47,20,6,3,9,20,49,90,0.544,19,43,0.442,13,21,0.619,9,47,35,5,4,14,22,DET
2021-01-08,,PHO,110,105,37,90,0.411,11,34,0.324,25,29,0.862,9,46,23,13,4,14,14,41,91,0.451,17,52,0.327,6,13,0.462,9,50,24,10,7,21,25,DET
2021-01-10,,UTA,86,96,29,87,0.333,10,42,0.238,18,21,0.857,11,39,21,10,7,7,23,35,82,0.427,11,35,0.314,15,22,0.682,16,63,17,3,5,13,17,DET
2021-01-13,,MIL,101,110,36,92,0.391,14,35,0.4,15,22,0.682,13,47,25,8,3,16,19,41,85,0.482,19,43,0.442,9,14,0.643,10,48,31,10,9,14,20,DET
2021-01-16,@,MIA,120,100,46,91,0.505,18,46,0.391,10,15,0.667,10,39,34,9,8,11,28,32,67,0.478,12,29,0.414,24,27,0.889,5,31,25,1,5,22,21,DET
2021-01-18,@,MIA,107,113,38,82,0.463,13,37,0.351,18,24,0.75,10,32,24,8,3,16,23,43,75,0.573,12,30,0.4,15,19,0.789,5,36,23,8,6,18,27,DET
2021-01-20,@,ATL,115,123,44,97,0.454,10,31,0.323,17,19,0.895,7,42,22,9,3,13,28,44,100,0.44,9,23,0.391,26,38,0.684,23,63,21,6,10,13,15,DET
2021-01-22,,HOU,102,103,31,82,0.378,15,32,0.469,25,37,0.676,14,55,17,5,8,19,21,37,95,0.389,14,41,0.341,15,20,0.75,14,51,24,7,11,14,28,DET
2021-01-23,,PHI,110,114,37,86,0.43,14,33,0.424,22,30,0.733,8,43,25,9,8,15,28,38,83,0.458,8,23,0.348,30,38,0.789,12,49,14,10,7,15,24,DET
2021-01-25,,PHI,119,104,35,70,0.5,17,38,0.447,32,38,0.842,11,47,22,6,6,18,20,40,94,0.426,9,28,0.321,15,20,0.75,13,36,15,12,3,9,26,DET
2021-01-27,@,CLE,107,122,37,82,0.451,11,27,0.407,22,29,0.759,13,40,29,7,5,22,21,47,87,0.54,11,21,0.524,17,23,0.739,8,37,24,14,7,16,22,DET
2021-01-28,,LAL,107,92,40,87,0.46,14,36,0.389,13,13,1,5,38,27,4,2,8,18,36,88,0.409,12,28,0.429,8,12,0.667,12,44,25,2,3,11,16,DET
2021-01-30,@,GSW,91,118,29,77,0.377,9,36,0.25,24,32,0.75,7,38,17,7,4,14,14,47,89,0.528,17,36,0.472,7,10,0.7,8,47,34,6,5,14,23,DET
2021-02-02,@,UTA,105,117,39,93,0.419,9,27,0.333,18,20,0.9,12,46,18,7,5,15,21,38,82,0.463,16,42,0.381,25,29,0.862,8,44,23,9,6,13,17,DET
2021-02-05,@,PHO,92,109,34,91,0.374,7,36,0.194,17,28,0.607,17,45,20,8,6,13,16,42,85,0.494,12,32,0.375,13,16,0.813,10,50,26,7,3,21,26,DET
2021-02-06,@,LAL,129,135,45,94,0.479,16,42,0.381,23,28,0.821,9,35,31,13,4,20,31,51,91,0.56,9,19,0.474,24,28,0.857,9,41,32,12,5,23,24,DET
2021-02-09,,BRK,122,111,47,84,0.56,13,29,0.448,15,21,0.714,7,37,28,10,6,13,16,43,86,0.5,11,30,0.367,14,16,0.875,8,34,30,8,6,15,22,DET
2021-02-11,,IND,95,111,38,85,0.447,5,28,0.179,14,19,0.737,15,43,21,5,5,11,13,44,86,0.512,14,31,0.452,9,10,0.9,10,41,26,10,5,7,18,DET
2021-02-12,@,BOS,108,102,34,79,0.43,15,38,0.395,25,30,0.833,6,44,25,3,6,12,20,36,82,0.439,8,27,0.296,22,30,0.733,7,44,15,9,2,10,25,DET
2021-02-14,,NOP,123,112,45,84,0.536,17,35,0.486,16,20,0.8,9,37,34,3,8,11,23,40,90,0.444,9,35,0.257,23,28,0.821,18,44,23,5,2,10,17,DET
2021-02-17,@,CHI,102,105,37,82,0.451,8,28,0.286,20,24,0.833,6,40,15,9,2,13,21,41,85,0.482,8,28,0.286,15,24,0.625,8,46,29,8,7,13,20,DET
2021-02-19,@,MEM,95,109,36,86,0.419,14,45,0.311,9,13,0.692,13,45,27,8,7,21,22,42,90,0.467,5,20,0.25,20,23,0.87,13,49,20,12,4,11,13,DET
2021-02-21,@,ORL,96,105,34,91,0.374,11,40,0.275,17,21,0.81,9,49,23,10,4,11,21,35,81,0.432,9,30,0.3,26,29,0.897,5,51,24,7,8,11,18,DET
2021-02-23,@,ORL,105,93,41,88,0.466,10,34,0.294,13,16,0.813,8,49,24,10,9,15,19,33,88,0.375,14,38,0.368,13,22,0.591,10,48,25,9,6,12,16,DET
2021-02-24,@,NOP,118,128,47,89,0.528,13,36,0.361,11,16,0.688,9,38,31,8,6,13,23,50,90,0.556,10,23,0.435,18,29,0.621,12,45,31,10,6,12,10,DET
2021-02-26,,SAC,107,110,37,82,0.451,12,33,0.364,21,32,0.656,10,45,20,6,6,11,25,37,89,0.416,7,32,0.219,29,41,0.707,14,49,24,5,6,10,25,DET
2021-02-28,,NYK,90,109,28,72,0.389,9,32,0.281,25,31,0.806,7,40,16,8,4,15,15,44,86,0.512,13,26,0.5,8,10,0.8,6,41,23,9,7,11,23,DET
2021-03-03,@,TOR,129,105,48,91,0.527,20,41,0.488,13,21,0.619,12,49,39,11,4,12,28,34,77,0.442,12,36,0.333,25,30,0.833,7,34,17,6,5,14,20,DET
2021-03-04,@,NYK,104,114,39,80,0.488,14,36,0.389,12,15,0.8,6,29,23,6,2,12,13,45,83,0.542,9,27,0.333,15,19,0.789,12,47,25,10,4,13,13,DET
2021-03-11,@,CHO,102,105,38,85,0.447,15,46,0.326,11,14,0.786,11,50,27,6,5,14,21,36,90,0.4,10,30,0.333,23,24,0.958,12,45,26,9,3,9,14,DET
2021-03-13,@,BRK,95,100,36,89,0.404,8,32,0.25,15,20,0.75,12,46,26,10,8,12,16,39,80,0.488,6,27,0.222,16,22,0.727,5,35,22,8,7,12,16,DET
2021-03-15,,SAS,99,109,39,83,0.47,7,25,0.28,14,25,0.56,8,34,22,9,5,8,9,47,83,0.566,12,25,0.48,3,5,0.6,10,45,29,3,9,21,23,DET
2021-03-17,,TOR,116,112,38,75,0.507,12,29,0.414,28,32,0.875,13,54,23,8,5,20,30,37,86,0.43,12,40,0.3,26,34,0.765,10,30,27,7,6,9,26,DET
2021-03-19,@,HOU,113,100,37,85,0.435,14,29,0.483,25,28,0.893,12,49,28,7,4,13,17,39,88,0.443,9,32,0.281,13,16,0.813,7,38,21,7,4,13,17,DET
2021-03-21,,CHI,86,100,32,82,0.39,4,25,0.16,18,25,0.72,8,37,20,11,5,14,16,37,80,0.463,14,28,0.5,12,14,0.857,9,52,26,8,8,18,22,DET
2021-03-24,@,IND,111,116,44,83,0.53,11,28,0.393,12,19,0.632,5,41,29,8,9,15,18,45,97,0.464,15,34,0.441,11,14,0.786,11,37,25,7,8,10,20,DET
2021-03-26,,BRK,111,113,33,73,0.452,11,31,0.355,34,47,0.723,7,36,19,6,4,9,30,37,84,0.44,13,33,0.394,26,34,0.765,16,49,19,3,4,10,27,DET
2021-03-27,@,WAS,92,106,33,85,0.388,10,29,0.345,16,19,0.842,7,43,19,9,5,19,18,44,91,0.484,9,21,0.429,9,9,1,7,48,24,7,5,18,22,DET
2021-03-29,,TOR,118,104,38,75,0.507,15,30,0.5,27,34,0.794,9,43,26,6,6,18,24,35,86,0.407,11,36,0.306,23,28,0.821,11,39,21,5,6,13,25,DET
2021-03-31,,POR,101,124,40,86,0.465,9,27,0.333,12,17,0.706,5,36,29,7,7,16,26,42,82,0.512,16,30,0.533,24,26,0.923,6,43,27,11,7,13,20,DET
2020-12-23,@,CLE,114,121,45,90,0.5,16,44,0.364,8,15,0.533,8,32,29,10,4,15,17,46,87,0.529,14,30,0.467,15,20,0.75,10,50,34,12,3,18,22,CHA
2020-12-26,,OKC,107,109,37,93,0.398,13,32,0.406,20,32,0.625,13,47,27,11,8,13,22,40,88,0.455,10,36,0.278,19,24,0.792,9,54,25,10,7,16,21,CHA
2020-12-27,,BRK,106,104,43,96,0.448,10,34,0.294,10,17,0.588,13,52,35,8,3,12,25,35,82,0.427,17,47,0.362,17,25,0.68,6,46,23,4,5,19,17,CHA
2020-12-30,@,DAL,118,99,43,84,0.512,15,34,0.441,17,21,0.81,12,50,30,6,6,23,28,34,87,0.391,12,42,0.286,19,33,0.576,13,39,24,10,6,14,16,CHA
2021-01-01,,MEM,93,108,35,86,0.407,9,31,0.29,14,21,0.667,10,42,23,9,4,18,15,43,90,0.478,14,39,0.359,8,10,0.8,10,48,34,10,6,15,18,CHA
2021-01-02,@,PHI,112,127,38,92,0.413,13,35,0.371,23,26,0.885,14,40,34,15,5,12,18,47,79,0.595,16,35,0.457,17,24,0.708,7,45,35,10,7,21,17,CHA
2021-01-04,@,PHI,101,118,36,86,0.419,13,39,0.333,16,22,0.727,8,47,30,4,4,16,24,46,95,0.484,11,32,0.344,15,23,0.652,14,55,34,7,5,10,21,CHA
2021-01-06,@,ATL,102,94,32,85,0.376,11,36,0.306,27,33,0.818,8,49,22,11,7,9,14,36,96,0.375,7,40,0.175,15,18,0.833,12,57,25,6,1,13,25,CHA
2021-01-08,@,NOP,118,110,41,87,0.471,16,42,0.381,20,25,0.8,16,45,33,10,4,14,20,38,77,0.494,15,38,0.395,19,26,0.731,10,36,29,6,4,19,17,CHA
2021-01-09,,ATL,113,105,40,77,0.519,15,33,0.455,18,24,0.75,6,41,27,11,7,15,19,34,89,0.382,14,45,0.311,23,28,0.821,17,47,25,10,4,14,22,CHA
2021-01-11,,NYK,109,88,38,78,0.487,13,32,0.406,20,23,0.87,5,37,28,8,8,10,13,34,87,0.391,9,37,0.243,11,17,0.647,17,49,20,6,6,16,23,CHA
2021-01-13,,DAL,93,104,38,100,0.38,10,38,0.263,7,14,0.5,15,53,26,8,7,11,17,40,96,0.417,15,46,0.326,9,16,0.563,13,54,22,8,12,10,15,CHA
2021-01-14,@,TOR,108,111,42,87,0.483,15,35,0.429,9,12,0.75,14,44,32,11,5,18,15,40,88,0.455,20,50,0.4,11,13,0.846,13,40,33,13,6,17,16,CHA
2021-01-16,@,TOR,113,116,38,87,0.437,15,36,0.417,22,29,0.759,12,48,26,6,5,14,20,36,86,0.419,21,49,0.429,23,26,0.885,7,43,28,5,8,15,22,CHA
2021-01-22,,CHI,110,123,42,85,0.494,7,32,0.219,19,25,0.76,12,46,22,8,1,21,12,49,96,0.51,15,43,0.349,10,12,0.833,15,43,33,11,4,14,21,CHA
2021-01-24,@,ORL,107,104,42,88,0.477,14,36,0.389,9,16,0.563,9,43,28,10,5,12,17,39,87,0.448,17,38,0.447,9,13,0.692,11,43,27,4,4,15,18,CHA
2021-01-25,@,ORL,108,117,39,89,0.438,11,38,0.289,19,27,0.704,11,41,22,5,6,14,20,42,88,0.477,19,37,0.514,14,22,0.636,10,49,31,10,3,15,21,CHA
2021-01-27,,IND,106,116,37,90,0.411,13,38,0.342,19,21,0.905,11,39,28,3,3,11,14,45,88,0.511,16,40,0.4,10,12,0.833,11,47,34,1,9,12,19,CHA
2021-01-29,,IND,108,105,43,85,0.506,16,37,0.432,6,9,0.667,9,42,35,7,5,17,13,42,87,0.483,11,35,0.314,10,13,0.769,9,39,30,7,4,16,13,CHA
2021-01-30,,MIL,126,114,44,92,0.478,21,44,0.477,17,20,0.85,7,41,32,8,5,9,20,40,82,0.488,18,45,0.4,16,24,0.667,8,46,22,6,6,15,17,CHA
2021-02-01,@,MIA,129,121,43,95,0.453,21,41,0.512,22,26,0.846,13,44,31,6,4,11,22,43,91,0.473,19,46,0.413,16,25,0.64,10,48,28,8,7,15,26,CHA
2021-02-03,,PHI,111,118,39,87,0.448,14,37,0.378,19,23,0.826,10,37,28,5,4,16,22,41,79,0.519,10,24,0.417,26,32,0.813,10,40,23,9,6,18,21,CHA
