Date,HomeAway,Opponent,Points,OppPoints,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,Team
2021-03-26,,BOS,114,122,44,99,0.444,19,47,0.404,7,11,0.636,16,49,24,7,3,16,16,43,88,0.489,22,47,0.468,14,16,0.875,8,44,27,10,8,14,16,MIL
2021-03-27,,NYK,96,102,36,87,0.414,14,36,0.389,10,16,0.625,15,48,21,11,7,16,11,40,93,0.43,16,44,0.364,6,8,0.75,12,44,28,9,11,14,19,MIL
2021-03-29,@,LAC,105,129,38,81,0.469,11,30,0.367,18,21,0.857,5,32,18,8,4,12,14,51,95,0.537,19,34,0.559,8,10,0.8,13,46,25,5,2,12,15,MIL
2021-03-31,@,LAL,112,97,42,79,0.532,14,26,0.538,14,18,0.778,7,42,23,13,8,21,17,35,87,0.402,10,36,0.278,17,22,0.773,11,40,22,9,5,22,22,MIL
2020-12-23,,NYK,121,107,46,94,0.489,8,34,0.235,21,29,0.724,10,50,28,6,9,13,24,39,85,0.459,12,28,0.429,17,23,0.739,5,40,25,8,8,16,27,IND
2020-12-26,@,CHI,125,106,52,93,0.559,9,26,0.346,12,19,0.632,9,49,34,15,4,16,26,34,91,0.374,16,39,0.41,22,25,0.88,13,41,23,7,7,20,16,IND
2020-12-27,,BOS,108,107,45,88,0.511,7,26,0.269,11,15,0.733,8,37,23,11,7,16,20,40,79,0.506,9,23,0.391,18,24,0.75,6,40,21,13,7,18,17,IND
2020-12-29,,BOS,111,116,43,84,0.512,12,33,0.364,13,16,0.813,4,36,27,9,5,14,25,40,80,0.5,9,22,0.409,27,37,0.73,12,43,21,10,3,14,16,IND
2020-12-31,,CLE,119,99,42,87,0.483,16,35,0.457,19,24,0.792,9,44,28,12,1,14,22,37,82,0.451,12,23,0.522,13,24,0.542,11,43,22,5,6,18,22,IND
2021-01-02,,NYK,102,106,34,84,0.405,19,50,0.38,15,18,0.833,5,32,22,6,4,8,21,42,83,0.506,12,27,0.444,10,13,0.769,10,51,23,4,3,15,16,IND
2021-01-04,@,NOP,118,116,45,93,0.484,19,45,0.422,9,13,0.692,5,42,32,10,8,14,27,44,101,0.436,9,27,0.333,19,24,0.792,16,57,26,5,4,18,20,IND
2021-01-06,,HOU,114,107,42,89,0.472,9,23,0.391,21,26,0.808,7,38,21,10,9,9,21,39,81,0.481,8,30,0.267,21,26,0.808,5,39,19,7,12,16,22,IND
2021-01-09,,PHO,117,125,44,92,0.478,12,29,0.414,17,24,0.708,13,52,23,2,4,10,19,46,94,0.489,16,41,0.39,17,17,1,4,40,33,6,2,2,17,IND
2021-01-11,@,SAC,122,127,47,97,0.485,13,39,0.333,15,18,0.833,10,37,26,14,3,12,21,47,84,0.56,15,32,0.469,18,23,0.783,7,44,29,6,9,18,17,IND
